X,CH1,CH2,
Second,Volt,Volt,
-1.0199999e-02,-1.92000e-01,-8.40000e-02,
-1.0099999e-02,-1.72000e-01,-8.60000e-02,
-9.9999988e-03,-1.60000e-01,-8.20000e-02,
-9.8999990e-03,-1.52000e-01,-7.80000e-02,
-9.7999992e-03,-1.40000e-01,-7.60000e-02,
-9.6999994e-03,-1.16000e-01,-8.00000e-02,
-9.5999995e-03,-1.12000e-01,-7.20000e-02,
-9.4999988e-03,-8.80000e-02,-8.00000e-02,
-9.3999989e-03,-8.40000e-02,-7.20000e-02,
-9.2999991e-03,-6.80000e-02,-7.60000e-02,
-9.1999993e-03,-6.40000e-02,-6.80000e-02,
-9.0999994e-03,-5.20000e-02,-7.40000e-02,
-8.9999987e-03,-4.40000e-02,-6.40000e-02,
-8.8999989e-03,-3.20000e-02,-6.40000e-02,
-8.7999990e-03,-2.40000e-02,-6.80000e-02,
-8.6999992e-03,-1.20000e-02,-6.20000e-02,
-8.5999994e-03,-8.00000e-03,-5.80000e-02,
-8.4999995e-03,4.00000e-03,-6.20000e-02,
-8.3999988e-03,1.20000e-02,-6.40000e-02,
-8.2999989e-03,1.20000e-02,-5.20000e-02,
-8.1999991e-03,1.60000e-02,-4.80000e-02,
-8.0999993e-03,2.00000e-02,-4.60000e-02,
-7.9999994e-03,3.20000e-02,-4.80000e-02,
-7.8999996e-03,3.60000e-02,-4.00000e-02,
-7.7999993e-03,2.40000e-02,-3.20000e-02,
-7.6999990e-03,3.20000e-02,-3.40000e-02,
-7.5999992e-03,3.60000e-02,-3.60000e-02,
-7.4999994e-03,4.80000e-02,-4.00000e-02,
-7.3999991e-03,5.20000e-02,-3.40000e-02,
-7.2999992e-03,4.00000e-02,-2.60000e-02,
-7.1999994e-03,5.20000e-02,-2.80000e-02,
-7.0999991e-03,3.60000e-02,-2.20000e-02,
-6.9999993e-03,3.60000e-02,-1.60000e-02,
-6.8999995e-03,4.80000e-02,-2.20000e-02,
-6.7999992e-03,4.00000e-02,-1.00000e-02,
-6.6999993e-03,4.40000e-02,-1.00000e-02,
-6.5999995e-03,6.00000e-02,-1.20000e-02,
-6.4999992e-03,4.40000e-02,-2.00000e-03,
-6.3999994e-03,3.60000e-02,8.00000e-03,
-6.2999995e-03,4.40000e-02,8.00000e-03,
-6.1999992e-03,4.80000e-02,1.00000e-02,
-6.0999994e-03,5.20000e-02,8.00000e-03,
-5.9999996e-03,5.60000e-02,1.40000e-02,
-5.8999993e-03,6.00000e-02,1.20000e-02,
-5.7999995e-03,5.60000e-02,1.60000e-02,
-5.6999996e-03,6.00000e-02,1.80000e-02,
-5.5999993e-03,4.80000e-02,2.40000e-02,
-5.4999995e-03,5.60000e-02,3.00000e-02,
-5.3999997e-03,5.60000e-02,3.20000e-02,
-5.2999994e-03,6.80000e-02,2.60000e-02,
-5.1999995e-03,5.20000e-02,4.00000e-02,
-5.0999997e-03,6.00000e-02,4.00000e-02,
-4.9999994e-03,6.00000e-02,4.80000e-02,
-4.8999996e-03,6.80000e-02,4.20000e-02,
-4.7999998e-03,8.80000e-02,3.60000e-02,
-4.6999995e-03,7.20000e-02,4.80000e-02,
-4.5999996e-03,7.60000e-02,5.40000e-02,
-4.4999993e-03,8.00000e-02,5.00000e-02,
-4.3999995e-03,7.20000e-02,6.40000e-02,
-4.2999997e-03,8.80000e-02,6.60000e-02,
-4.1999994e-03,1.00000e-01,5.80000e-02,
-4.0999996e-03,1.04000e-01,7.00000e-02,
-3.9999997e-03,1.12000e-01,7.20000e-02,
-3.8999997e-03,1.16000e-01,7.20000e-02,
-3.7999996e-03,1.24000e-01,7.60000e-02,
-3.6999995e-03,1.40000e-01,7.40000e-02,
-3.5999997e-03,1.44000e-01,7.40000e-02,
-3.4999996e-03,1.56000e-01,7.80000e-02,
-3.3999996e-03,1.68000e-01,8.20000e-02,
-3.2999997e-03,1.76000e-01,8.60000e-02,
-3.1999997e-03,1.84000e-01,8.60000e-02,
-3.0999996e-03,2.08000e-01,8.20000e-02,
-2.9999998e-03,2.20000e-01,8.60000e-02,
-2.8999997e-03,2.36000e-01,8.40000e-02,
-2.7999997e-03,2.44000e-01,8.40000e-02,
-2.6999998e-03,2.56000e-01,9.00000e-02,
-2.5999998e-03,2.76000e-01,9.00000e-02,
-2.4999997e-03,2.84000e-01,9.40000e-02,
-2.3999999e-03,2.88000e-01,9.60000e-02,
-2.2999998e-03,3.12000e-01,8.80000e-02,
-2.1999998e-03,3.24000e-01,9.80000e-02,
-2.0999997e-03,3.36000e-01,8.60000e-02,
-1.9999999e-03,3.44000e-01,9.60000e-02,
-1.8999998e-03,3.48000e-01,9.80000e-02,
-1.7999999e-03,3.60000e-01,9.80000e-02,
-1.6999998e-03,3.68000e-01,9.60000e-02,
-1.5999998e-03,3.68000e-01,9.60000e-02,
-1.4999999e-03,3.72000e-01,8.80000e-02,
-1.3999998e-03,3.72000e-01,9.40000e-02,
-1.2999999e-03,3.52000e-01,1.02000e-01,
-1.1999999e-03,3.60000e-01,9.20000e-02,
-1.0999999e-03,3.44000e-01,9.20000e-02,
-9.9999993e-04,3.36000e-01,9.00000e-02,
-8.9999993e-04,3.20000e-01,8.60000e-02,
-7.9999992e-04,3.04000e-01,8.80000e-02,
-6.9999992e-04,2.84000e-01,9.00000e-02,
-5.9999997e-04,2.68000e-01,8.80000e-02,
-4.9999997e-04,2.52000e-01,8.80000e-02,
-3.9999996e-04,2.32000e-01,9.20000e-02,
-2.9999999e-04,2.16000e-01,8.40000e-02,
-1.9999998e-04,1.96000e-01,9.00000e-02,
-9.9999990e-05,1.80000e-01,8.60000e-02,
0.0000000e+00,1.68000e-01,8.60000e-02,
9.9999990e-05,1.64000e-01,8.00000e-02,
1.9999998e-04,1.48000e-01,8.20000e-02,
2.9999999e-04,1.32000e-01,8.60000e-02,
3.9999996e-04,1.28000e-01,7.80000e-02,
4.9999997e-04,1.08000e-01,7.80000e-02,
5.9999997e-04,1.00000e-01,8.00000e-02,
6.9999992e-04,8.40000e-02,7.60000e-02,
7.9999992e-04,7.20000e-02,7.80000e-02,
8.9999993e-04,6.80000e-02,7.00000e-02,
9.9999993e-04,5.60000e-02,6.60000e-02,
1.0999999e-03,3.60000e-02,7.40000e-02,
1.1999999e-03,4.00000e-02,6.20000e-02,
1.2999999e-03,3.20000e-02,6.00000e-02,
