X,CH1,CH2,
Second,Volt,Volt,
-1.5875779e-01,1.40000e+02,-5.60000e-02,
-1.5871780e-01,1.44000e+02,-8.00000e-02,
-1.5867780e-01,1.52000e+02,-1.12000e-01,
-1.5863779e-01,1.56000e+02,-7.20000e-02,
-1.5859780e-01,1.56000e+02,-8.80000e-02,
-1.5855780e-01,1.60000e+02,-7.20000e-02,
-1.5851779e-01,1.68000e+02,-7.20000e-02,
-1.5847780e-01,1.68000e+02,-4.80000e-02,
-1.5843780e-01,1.72000e+02,-6.40000e-02,
-1.5839779e-01,1.76000e+02,-6.40000e-02,
-1.5835780e-01,1.80000e+02,-8.00000e-02,
-1.5831780e-01,1.84000e+02,-4.80000e-02,
-1.5827779e-01,1.88000e+02,-8.00000e-02,
-1.5823780e-01,1.88000e+02,-6.40000e-02,
-1.5819779e-01,1.92000e+02,-1.60000e-02,
-1.5815780e-01,1.96000e+02,-3.20000e-02,
-1.5811780e-01,2.00000e+02,-2.40000e-02,
-1.5807779e-01,2.00000e+02,-3.20000e-02,
-1.5803780e-01,2.04000e+02,-8.00000e-03,
-1.5799780e-01,2.08000e+02,-4.80000e-02,
-1.5795779e-01,2.08000e+02,-8.00000e-03,
-1.5791780e-01,2.12000e+02,-8.00000e-03,
-1.5787780e-01,2.16000e+02,-3.20000e-02,
-1.5783779e-01,2.20000e+02,8.00000e-03,
-1.5779780e-01,2.28000e+02,-8.00000e-03,
-1.5775780e-01,2.28000e+02,-8.00000e-03,
-1.5771779e-01,2.28000e+02,-8.00000e-03,
-1.5767780e-01,2.32000e+02,1.60000e-02,
-1.5763780e-01,2.36000e+02,-8.00000e-03,
-1.5759780e-01,2.36000e+02,0.00000e+00,
-1.5755780e-01,2.44000e+02,-8.00000e-03,
-1.5751779e-01,2.44000e+02,8.00000e-03,
-1.5747780e-01,2.44000e+02,0.00000e+00,
-1.5743780e-01,2.48000e+02,3.20000e-02,
-1.5739779e-01,2.52000e+02,8.00000e-03,
-1.5735780e-01,2.56000e+02,8.00000e-03,
-1.5731780e-01,2.60000e+02,8.00000e-03,
-1.5727779e-01,2.60000e+02,8.00000e-03,
-1.5723780e-01,2.64000e+02,2.40000e-02,
-1.5719780e-01,2.64000e+02,-8.00000e-03,
-1.5715779e-01,2.64000e+02,0.00000e+00,
-1.5711780e-01,2.68000e+02,0.00000e+00,
-1.5707780e-01,2.68000e+02,8.00000e-03,
-1.5703779e-01,2.72000e+02,4.00000e-02,
-1.5699780e-01,2.72000e+02,4.00000e-02,
-1.5695779e-01,2.72000e+02,8.00000e-03,
-1.5691780e-01,2.76000e+02,5.60000e-02,
-1.5687780e-01,2.76000e+02,4.00000e-02,
-1.5683779e-01,2.80000e+02,6.40000e-02,
-1.5679780e-01,2.80000e+02,4.00000e-02,
-1.5675780e-01,2.80000e+02,7.20000e-02,
-1.5671779e-01,2.84000e+02,1.60000e-02,
-1.5667780e-01,2.88000e+02,0.00000e+00,
-1.5663780e-01,2.88000e+02,4.00000e-02,
-1.5659779e-01,2.92000e+02,5.60000e-02,
-1.5655780e-01,2.88000e+02,2.40000e-02,
-1.5651780e-01,2.88000e+02,2.40000e-02,
-1.5647779e-01,2.92000e+02,1.60000e-02,
-1.5643780e-01,2.92000e+02,4.80000e-02,
-1.5639780e-01,2.96000e+02,5.60000e-02,
-1.5635780e-01,2.92000e+02,8.00000e-03,
-1.5631780e-01,2.96000e+02,3.20000e-02,
-1.5627779e-01,2.96000e+02,7.20000e-02,
-1.5623780e-01,2.96000e+02,4.80000e-02,
-1.5619780e-01,2.96000e+02,4.00000e-02,
-1.5615779e-01,2.96000e+02,0.00000e+00,
-1.5611780e-01,3.00000e+02,8.00000e-03,
-1.5607780e-01,3.00000e+02,2.40000e-02,
-1.5603779e-01,3.00000e+02,4.00000e-02,
-1.5599780e-01,3.00000e+02,6.40000e-02,
-1.5595780e-01,3.00000e+02,4.00000e-02,
-1.5591779e-01,3.04000e+02,4.00000e-02,
-1.5587780e-01,3.00000e+02,5.60000e-02,
-1.5583780e-01,3.04000e+02,3.20000e-02,
-1.5579779e-01,3.04000e+02,4.00000e-02,
-1.5575780e-01,3.04000e+02,4.80000e-02,
-1.5571781e-01,3.04000e+02,4.00000e-02,
-1.5567780e-01,3.04000e+02,7.20000e-02,
-1.5563780e-01,3.04000e+02,3.20000e-02,
-1.5559779e-01,3.04000e+02,4.80000e-02,
-1.5555780e-01,3.04000e+02,4.80000e-02,
-1.5551780e-01,3.04000e+02,6.40000e-02,
-1.5547779e-01,3.04000e+02,5.60000e-02,
-1.5543780e-01,3.04000e+02,1.60000e-02,
-1.5539780e-01,3.04000e+02,3.20000e-02,
-1.5535779e-01,3.04000e+02,4.00000e-02,
-1.5531780e-01,3.04000e+02,4.00000e-02,
-1.5527780e-01,3.04000e+02,7.20000e-02,
-1.5523779e-01,3.08000e+02,4.00000e-02,
-1.5519780e-01,3.08000e+02,6.40000e-02,
-1.5515780e-01,3.08000e+02,3.20000e-02,
-1.5511779e-01,3.08000e+02,4.80000e-02,
-1.5507780e-01,3.04000e+02,4.00000e-02,
-1.5503779e-01,3.08000e+02,7.20000e-02,
-1.5499780e-01,3.08000e+02,3.20000e-02,
-1.5495780e-01,3.08000e+02,4.00000e-02,
-1.5491779e-01,3.08000e+02,4.00000e-02,
-1.5487780e-01,3.08000e+02,4.80000e-02,
-1.5483780e-01,3.08000e+02,5.60000e-02,
-1.5479779e-01,3.08000e+02,4.00000e-02,
-1.5475780e-01,3.08000e+02,3.20000e-02,
-1.5471780e-01,3.08000e+02,6.40000e-02,
-1.5467779e-01,3.08000e+02,5.60000e-02,
-1.5463780e-01,3.12000e+02,5.60000e-02,
-1.5459780e-01,3.08000e+02,4.80000e-02,
-1.5455779e-01,3.08000e+02,3.20000e-02,
-1.5451780e-01,3.08000e+02,4.00000e-02,
-1.5447780e-01,3.12000e+02,4.80000e-02,
-1.5443780e-01,3.08000e+02,6.40000e-02,
-1.5439780e-01,3.08000e+02,6.40000e-02,
-1.5435779e-01,3.08000e+02,4.00000e-02,
-1.5431780e-01,3.08000e+02,6.40000e-02,
-1.5427780e-01,3.12000e+02,7.20000e-02,
-1.5423779e-01,3.08000e+02,8.80000e-02,
-1.5419780e-01,3.08000e+02,8.00000e-02,
-1.5415780e-01,3.12000e+02,4.00000e-02,
-1.5411779e-01,3.12000e+02,5.60000e-02,
-1.5407780e-01,3.08000e+02,3.20000e-02,
-1.5403780e-01,3.08000e+02,4.00000e-02,
-1.5399779e-01,3.08000e+02,5.60000e-02,
-1.5395780e-01,3.08000e+02,8.00000e-02,
-1.5391780e-01,3.08000e+02,4.80000e-02,
-1.5387779e-01,3.04000e+02,4.80000e-02,
-1.5383780e-01,3.04000e+02,6.40000e-02,
-1.5379779e-01,3.00000e+02,7.20000e-02,
-1.5375780e-01,3.04000e+02,9.60000e-02,
-1.5371780e-01,2.92000e+02,4.80000e-02,
-1.5367779e-01,2.92000e+02,7.20000e-02,
-1.5363780e-01,2.88000e+02,9.60000e-02,
-1.5359780e-01,2.80000e+02,8.80000e-02,
-1.5355779e-01,2.76000e+02,6.40000e-02,
-1.5351780e-01,2.76000e+02,8.80000e-02,
-1.5347780e-01,2.68000e+02,9.60000e-02,
-1.5343779e-01,2.68000e+02,8.80000e-02,
-1.5339780e-01,2.68000e+02,1.04000e-01,
-1.5335780e-01,2.64000e+02,1.12000e-01,
-1.5331779e-01,2.64000e+02,4.80000e-02,
-1.5327780e-01,2.60000e+02,1.12000e-01,
-1.5323780e-01,2.60000e+02,7.20000e-02,
-1.5319780e-01,2.56000e+02,9.60000e-02,
-1.5315780e-01,2.60000e+02,7.20000e-02,
-1.5311779e-01,2.52000e+02,9.60000e-02,
-1.5307780e-01,2.52000e+02,1.20000e-01,
-1.5303780e-01,2.52000e+02,1.04000e-01,
-1.5299779e-01,2.48000e+02,1.12000e-01,
-1.5295780e-01,2.44000e+02,1.44000e-01,
-1.5291780e-01,2.44000e+02,8.80000e-02,
-1.5287779e-01,2.44000e+02,1.12000e-01,
-1.5283780e-01,2.36000e+02,1.52000e-01,
-1.5279780e-01,2.32000e+02,1.28000e-01,
-1.5275779e-01,2.32000e+02,1.44000e-01,
-1.5271780e-01,2.28000e+02,1.76000e-01,
-1.5267780e-01,2.24000e+02,1.68000e-01,
-1.5263779e-01,2.20000e+02,1.36000e-01,
-1.5259780e-01,2.16000e+02,1.60000e-01,
-1.5255779e-01,2.12000e+02,1.20000e-01,
-1.5251780e-01,2.12000e+02,1.76000e-01,
-1.5247780e-01,2.04000e+02,1.60000e-01,
-1.5243779e-01,2.00000e+02,2.00000e-01,
-1.5239780e-01,2.00000e+02,2.08000e-01,
-1.5235780e-01,1.96000e+02,1.76000e-01,
-1.5231779e-01,1.92000e+02,1.92000e-01,
-1.5227780e-01,1.88000e+02,1.92000e-01,
-1.5223780e-01,1.84000e+02,1.92000e-01,
-1.5219779e-01,1.84000e+02,2.32000e-01,
-1.5215780e-01,1.76000e+02,2.00000e-01,
-1.5211780e-01,1.72000e+02,2.32000e-01,
-1.5207779e-01,1.68000e+02,2.16000e-01,
-1.5203780e-01,1.68000e+02,2.08000e-01,
-1.5199780e-01,1.64000e+02,2.32000e-01,
-1.5195780e-01,1.60000e+02,2.24000e-01,
-1.5191780e-01,1.56000e+02,2.16000e-01,
-1.5187779e-01,1.52000e+02,2.40000e-01,
-1.5183780e-01,1.52000e+02,2.64000e-01,
-1.5179780e-01,1.44000e+02,2.56000e-01,
-1.5175779e-01,1.40000e+02,2.48000e-01,
-1.5171780e-01,1.36000e+02,2.56000e-01,
-1.5167780e-01,1.36000e+02,2.80000e-01,
-1.5163779e-01,1.32000e+02,2.32000e-01,
-1.5159780e-01,1.28000e+02,2.48000e-01,
-1.5155780e-01,1.28000e+02,2.96000e-01,
-1.5151779e-01,1.20000e+02,2.88000e-01,
-1.5147780e-01,1.20000e+02,2.80000e-01,
-1.5143780e-01,1.12000e+02,2.96000e-01,
-1.5139779e-01,1.12000e+02,2.96000e-01,
-1.5135780e-01,1.08000e+02,2.80000e-01,
-1.5131781e-01,1.00000e+02,2.72000e-01,
-1.5127780e-01,9.60000e+01,3.44000e-01,
-1.5123780e-01,9.20000e+01,3.36000e-01,
-1.5119779e-01,9.20000e+01,3.36000e-01,
-1.5115780e-01,8.40000e+01,3.20000e-01,
-1.5111780e-01,8.00000e+01,3.44000e-01,
-1.5107779e-01,7.60000e+01,3.04000e-01,
-1.5103780e-01,7.20000e+01,3.44000e-01,
-1.5099780e-01,6.80000e+01,2.96000e-01,
-1.5095779e-01,6.00000e+01,3.28000e-01,
-1.5091780e-01,6.00000e+01,3.52000e-01,
-1.5087780e-01,6.00000e+01,3.60000e-01,
-1.5083779e-01,6.00000e+01,3.52000e-01,
-1.5079780e-01,5.20000e+01,3.44000e-01,
-1.5075780e-01,4.80000e+01,3.60000e-01,
-1.5071779e-01,4.80000e+01,3.28000e-01,
-1.5067780e-01,4.40000e+01,3.60000e-01,
-1.5063779e-01,4.00000e+01,3.44000e-01,
-1.5059780e-01,3.60000e+01,3.44000e-01,
-1.5055780e-01,3.20000e+01,3.60000e-01,
-1.5051779e-01,2.40000e+01,3.28000e-01,
-1.5047780e-01,2.00000e+01,3.68000e-01,
-1.5043780e-01,2.00000e+01,3.36000e-01,
-1.5039779e-01,1.60000e+01,3.28000e-01,
-1.5035780e-01,1.60000e+01,3.28000e-01,
-1.5031780e-01,8.00000e+00,3.44000e-01,
-1.5027779e-01,4.00000e+00,3.44000e-01,
-1.5023780e-01,4.00000e+00,3.20000e-01,
-1.5019780e-01,-4.00000e+00,3.52000e-01,
-1.5015779e-01,-8.00000e+00,3.44000e-01,
-1.5011780e-01,-8.00000e+00,3.04000e-01,
-1.5007780e-01,-8.00000e+00,2.96000e-01,
-1.5003780e-01,-1.20000e+01,3.12000e-01,
-1.4999780e-01,-1.60000e+01,2.96000e-01,
-1.4995779e-01,-2.40000e+01,3.12000e-01,
-1.4991780e-01,-2.80000e+01,2.56000e-01,
-1.4987780e-01,-2.80000e+01,2.64000e-01,
-1.4983779e-01,-3.60000e+01,2.96000e-01,
-1.4979780e-01,-4.00000e+01,2.64000e-01,
-1.4975780e-01,-4.40000e+01,2.72000e-01,
-1.4971779e-01,-4.80000e+01,2.64000e-01,
-1.4967780e-01,-5.60000e+01,2.64000e-01,
-1.4963780e-01,-6.00000e+01,2.08000e-01,
-1.4959779e-01,-6.00000e+01,2.24000e-01,
-1.4955780e-01,-6.40000e+01,2.48000e-01,
-1.4951780e-01,-6.80000e+01,2.08000e-01,
-1.4947779e-01,-7.20000e+01,2.40000e-01,
-1.4943780e-01,-7.60000e+01,1.76000e-01,
-1.4939779e-01,-8.00000e+01,2.08000e-01,
-1.4935780e-01,-8.00000e+01,1.60000e-01,
-1.4931780e-01,-8.40000e+01,1.52000e-01,
-1.4927779e-01,-8.80000e+01,2.16000e-01,
-1.4923780e-01,-8.80000e+01,1.36000e-01,
-1.4919780e-01,-1.00000e+02,1.36000e-01,
-1.4915779e-01,-1.04000e+02,1.84000e-01,
-1.4911780e-01,-1.04000e+02,1.44000e-01,
-1.4907780e-01,-1.12000e+02,1.68000e-01,
-1.4903779e-01,-1.12000e+02,1.52000e-01,
-1.4899780e-01,-1.20000e+02,1.12000e-01,
-1.4895780e-01,-1.20000e+02,1.52000e-01,
-1.4891779e-01,-1.28000e+02,1.44000e-01,
-1.4887780e-01,-1.28000e+02,1.28000e-01,
-1.4883780e-01,-1.32000e+02,1.12000e-01,
-1.4879780e-01,-1.36000e+02,1.04000e-01,
-1.4875780e-01,-1.40000e+02,1.28000e-01,
-1.4871779e-01,-1.44000e+02,1.28000e-01,
-1.4867780e-01,-1.48000e+02,1.20000e-01,
-1.4863780e-01,-1.48000e+02,1.12000e-01,
-1.4859779e-01,-1.52000e+02,9.60000e-02,
-1.4855780e-01,-1.56000e+02,1.12000e-01,
-1.4851780e-01,-1.56000e+02,1.04000e-01,
-1.4847779e-01,-1.60000e+02,7.20000e-02,
-1.4843780e-01,-1.68000e+02,8.80000e-02,
-1.4839780e-01,-1.72000e+02,6.40000e-02,
-1.4835779e-01,-1.72000e+02,8.00000e-02,
-1.4831780e-01,-1.76000e+02,4.00000e-02,
-1.4827780e-01,-1.80000e+02,4.00000e-02,
-1.4823779e-01,-1.84000e+02,5.60000e-02,
-1.4819780e-01,-1.88000e+02,3.20000e-02,
-1.4815781e-01,-1.92000e+02,5.60000e-02,
-1.4811780e-01,-1.92000e+02,3.20000e-02,
-1.4807780e-01,-1.96000e+02,6.40000e-02,
-1.4803779e-01,-2.04000e+02,4.80000e-02,
-1.4799780e-01,-2.08000e+02,6.40000e-02,
-1.4795780e-01,-2.08000e+02,1.60000e-02,
-1.4791779e-01,-2.12000e+02,4.00000e-02,
-1.4787780e-01,-2.20000e+02,0.00000e+00,
-1.4783780e-01,-2.20000e+02,8.00000e-03,
-1.4779779e-01,-2.20000e+02,0.00000e+00,
-1.4775780e-01,-2.24000e+02,2.40000e-02,
-1.4771780e-01,-2.24000e+02,2.40000e-02,
-1.4767779e-01,-2.24000e+02,3.20000e-02,
-1.4763780e-01,-2.32000e+02,4.00000e-02,
-1.4759780e-01,-2.32000e+02,3.20000e-02,
-1.4755780e-01,-2.36000e+02,-8.00000e-03,
-1.4751780e-01,-2.40000e+02,8.00000e-03,
-1.4747779e-01,-2.40000e+02,2.40000e-02,
-1.4743780e-01,-2.44000e+02,8.00000e-03,
-1.4739780e-01,-2.48000e+02,-8.00000e-03,
-1.4735779e-01,-2.48000e+02,1.60000e-02,
-1.4731780e-01,-2.52000e+02,0.00000e+00,
-1.4727780e-01,-2.60000e+02,-8.00000e-03,
-1.4723779e-01,-2.60000e+02,1.60000e-02,
-1.4719780e-01,-2.60000e+02,-8.00000e-03,
-1.4715780e-01,-2.64000e+02,8.00000e-03,
-1.4711779e-01,-2.68000e+02,-8.00000e-03,
-1.4707780e-01,-2.68000e+02,-4.00000e-02,
-1.4703780e-01,-2.72000e+02,-1.60000e-02,
-1.4699779e-01,-2.72000e+02,0.00000e+00,
-1.4695780e-01,-2.72000e+02,0.00000e+00,
-1.4691781e-01,-2.76000e+02,-8.00000e-03,
-1.4687780e-01,-2.80000e+02,-2.40000e-02,
-1.4683780e-01,-2.80000e+02,-8.00000e-03,
-1.4679779e-01,-2.80000e+02,-4.00000e-02,
-1.4675780e-01,-2.84000e+02,-2.40000e-02,
-1.4671780e-01,-2.84000e+02,-2.40000e-02,
-1.4667779e-01,-2.88000e+02,-1.60000e-02,
-1.4663780e-01,-2.88000e+02,-3.20000e-02,
-1.4659780e-01,-2.88000e+02,-4.80000e-02,
-1.4655779e-01,-2.88000e+02,-1.60000e-02,
-1.4651780e-01,-2.88000e+02,-3.20000e-02,
-1.4647780e-01,-2.92000e+02,-3.20000e-02,
-1.4643779e-01,-2.88000e+02,-8.00000e-03,
-1.4639780e-01,-2.92000e+02,-4.80000e-02,
-1.4635780e-01,-2.92000e+02,-3.20000e-02,
-1.4631779e-01,-2.96000e+02,-3.20000e-02,
-1.4627780e-01,-2.96000e+02,-1.60000e-02,
-1.4623779e-01,-2.92000e+02,-8.00000e-03,
-1.4619780e-01,-2.96000e+02,-4.00000e-02,
-1.4615780e-01,-2.96000e+02,-1.60000e-02,
-1.4611779e-01,-2.96000e+02,-1.60000e-02,
-1.4607780e-01,-3.00000e+02,-3.20000e-02,
-1.4603780e-01,-2.96000e+02,-4.80000e-02,
-1.4599779e-01,-2.96000e+02,-2.40000e-02,
-1.4595780e-01,-2.96000e+02,-4.00000e-02,
-1.4591780e-01,-3.00000e+02,-3.20000e-02,
-1.4587779e-01,-2.96000e+02,-4.80000e-02,
-1.4583780e-01,-3.00000e+02,-2.40000e-02,
-1.4579780e-01,-3.00000e+02,-1.60000e-02,
-1.4575779e-01,-3.00000e+02,-4.80000e-02,
